'title'	'distributor'	'genre'	'release_time'	'time'	'screening_rat'	'director'	'dir_prev_bfnum'	'dir_prev_num'	'num_staff'	'num_actor'	'box_off_num'

'개들의 전쟁'	'롯데엔터테인먼트'	'액션'	'2012-11-22'	'96'	'청소년 관람불가'	'조병옥'	''	'0'	'91'	'2'	'23398'

'은밀하게 위대하게'	'(주)쇼박스'	'액션'	'2013-06-05'	'123'	'15세 관람가'	'장철수'	'220775.25'	'4'	'343'	'4'	'6959083'

'회사원'	'(주)쇼박스'	'액션'	'2012-10-11'	'96'	'청소년 관람불가'	'임상윤'	'739522.0'	'3'	'342'	'2'	'1110523'

'빅매치'	'(주)NEW'	'액션'	'2014-11-26'	'112'	'15세 관람가'	'최호'	'1159954.0'	'2'	'600'	'4'	'1177435'

'아저씨'	'CJ 엔터테인먼트'	'액션'	'2010-08-04'	'119'	'청소년 관람불가'	'이정범'	''	'0'	'509'	'2'	'6178665'

'무적자'	'CJ 엔터테인먼트'	'액션'	'2010-09-16'	'124'	'15세 관람가'	'송해성'	'1163526.33333333'	'3'	'546'	'4'	'1546132'

'잉투기'	'무비꼴라쥬'	'액션'	'2013-11-14'	'98'	'15세 관람가'	'엄태화'	''	'0'	'65'	'3'	'17341'

'26년'	'인벤트 디'	'액션'	'2012-11-29'	'135'	'15세 관람가'	'조근현'	'2636385.0'	'1'	'365'	'3'	'2963652'

'고지전'	'(주)쇼박스'	'액션'	'2011-07-20'	'133'	'15세 관람가'	'장훈'	'2266504.33333333'	'3'	'238'	'11'	'2945151'

'응징자'	'인벤트 디'	'액션'	'2013-10-30'	'103'	'청소년 관람불가'	'신재호'	'44448.5'	'2'	'151'	'3'	'192347'

'혈투'	'KT'	'액션'	'2011-02-24'	'111'	'15세 관람가'	'박훈정'	'2270048.5'	'2'	'306'	'3'	'43947'

'권법형사 : 차이나타운'	'골든타이드픽처스'	'액션'	'2015-07-09'	'83'	'청소년 관람불가'	'박상현'	''	'0'	'151'	'2'	'257'

'강남 1970'	'(주)쇼박스'	'액션'	'2015-01-21'	'135'	'청소년 관람불가'	'유하'	'1949111.0'	'4'	'719'	'3'	'2192276'

'런닝맨'	'이십세기폭스코리아(주)'	'액션'	'2013-04-04'	'127'	'15세 관람가'	'조동오'	'473852.33333333296'	'3'	'307'	'5'	'1422844'

'철암 계곡의 혈투'	'인디스토리'	'액션'	'2012-07-12'	'89'	'청소년 관람불가'	'지하진'	''	'0'	'5'	'2'	'1002'

'특수본'	'롯데엔터테인먼트'	'액션'	'2011-11-24'	'111'	'15세 관람가'	'황병국'	''	'0'	'253'	'6'	'1118258'

'최종병기 활'	'롯데엔터테인먼트'	'액션'	'2011-08-10'	'122'	'15세 관람가'	'김한민'	'2079989.0'	'1'	'687'	'4'	'7482180'

'카운트다운'	'NEW'	'액션'	'2011-09-29'	'119'	'청소년 관람불가'	'허종호'	'1086916.0'	'2'	'109'	'2'	'471547'

'더 폰'	'(주)NEW'	'액션'	'2015-10-22'	'114'	'15세 관람가'	'김봉주'	'2500135.0'	'4'	'437'	'3'	'1596762'

'치외법권'	'판씨네마(주)'	'액션'	'2015-08-27'	'104'	'15세 관람가'	'신재호'	'93748.0'	'3'	'253'	'2'	'346483'

'전설의 주먹'	'CJ 엔터테인먼트'	'액션'	'2013-04-10'	'153'	'청소년 관람불가'	'강우석'	'844821.0'	'3'	'335'	'6'	'1744585'

'짐승'	'(주)키노아이'	'액션'	'2011-07-28'	'93'	'청소년 관람불가'	'황유식'	'506419.0'	'2'	'54'	'2'	'480'

'R2B: 리턴투베이스'	'주머니필름'	'액션'	'2012-08-15'	'113'	'15세 관람가'	'김동원'	''	'0'	'477'	'7'	'1201944'

'암살'	'(주)쇼박스'	'액션'	'2015-07-22'	'139'	'15세 관람가'	'최동훈'	'5169479.0'	'4'	'628'	'3'	'12706663'

'서부전선'	'롯데엔터테인먼트'	'액션'	'2015-09-24'	'112'	'12세 관람가'	'천성일'	'4385472.0'	'2'	'388'	'2'	'609063'

'헤드'	'SBS콘텐츠허브'	'액션'	'2011-05-26'	'100'	'청소년 관람불가'	'조운'	'145.0'	'1'	'290'	'3'	'61414'

'협녀, 칼의 기억'	'롯데엔터테인먼트'	'액션'	'2015-08-13'	'121'	'15세 관람가'	'박흥식'	'120930.33333333301'	'3'	'439'	'3'	'431310'

'베를린'	'CJ 엔터테인먼트'	'액션'	'2013-01-30'	'120'	'15세 관람가'	'류승완'	''	'0'	'363'	'5'	'7166532'

